age,diameter,length,material,install_year,condition_score,criticality,pressure_zone,Failure_Tot,failure,longitude,latitude
21,150,12.8413451331782,PVC,2003.0,9.35,6,2,0,0,,
21,150,142.313868659939,PVC,2003.0,9.35,6,2,0,0,,
47,600,420.165476564561,DI,1977.0,8.5,7,1,0,0,,
13,150,110.114653450007,PVC,2011.0,9.35,6,2,0,0,,
13,150,14.6499239440189,PVC,2011.0,9.35,6,2,0,0,,
55,450,0.584598049806351,DI,1969.0,8.5,7,2,0,0,,
46,150,7.12614171822205,DI,1978.0,8.5,5,0,2,1,-80.5431225568613,43.4133960373115
46,150,74.0688567404274,DI,1978.0,5.3,6,0,2,1,-80.5431225568613,43.4133960373115
35,150,2.06064386017645,DI,1989.0,9.1,0,0,1,1,-80.5414917653935,43.4345299728912
35,150,6.22608223502225,DI,1989.0,9.1,6,0,1,1,-80.5414917653935,43.4345299728912
35,150,181.422691385712,DI,1989.0,9.1,6,0,1,1,-80.5414917653935,43.4345299728912
35,150,203.013629680075,DI,1989.0,9.1,6,0,1,1,-80.5414917653935,43.4345299728912
35,150,4.42960874930297,DI,1989.0,9.1,6,0,1,1,-80.5414917653935,43.4345299728912
19,150,9.28725743442443,PVC,2005.0,9.35,5,1,0,0,,
19,150,60.8552277884025,PVC,2005.0,9.35,6,1,0,0,,
70,200,8.18753336926163,CI,1954.0,7.75,6,1,0,0,,
51,100,55.731728927169,DI,1973.0,8.5,5,1,1,1,-80.4753299948803,43.4148853246876
51,100,1.21425203315999,DI,1973.0,8.5,5,1,1,1,-80.4753299948803,43.4148853246876
48,150,5.03239160675998,DI,1976.0,8.5,5,1,0,0,,
48,150,112.591455087155,DI,1976.0,8.5,5,1,0,0,,
48,150,10.1987087576459,DI,1976.0,8.5,5,1,0,0,,
56,300,15.6376478520291,DI,1968.0,8.5,7,3,6,1,-80.5253316852334,43.4394190277826
55,300,161.054069509515,DI,1969.0,4.9,7,3,6,1,-80.5253316852334,43.4394190277826
48,300,6.74407206280722,DI,1976.0,8.5,7,1,1,1,-80.4800641631084,43.4678751965881
72,150,111.705600416694,CI,1952.0,7.75,6,1,0,0,,
43,150,6.68300303748349,DI,1981.0,8.5,5,1,0,0,,
43,150,98.2380811195465,DI,1981.0,8.5,5,1,0,0,,
77,150,85.7905700001108,CI,1947.0,7.75,6,1,0,0,,
29,200,0.844150698162107,PVC,1995.0,9.35,6,1,0,0,,
29,200,61.407359535798,PVC,1995.0,9.35,7,1,0,0,,
48,200,11.3032895814025,DI,1976.0,8.5,6,2,0,0,,
48,200,54.4680629376523,DI,1976.0,8.5,6,2,0,0,,
23,300,25.7054625281465,PVC,2001.0,9.35,7,1,0,0,,
23,300,7.22995882317329,PVC,2001.0,9.35,7,1,0,0,,
23,300,7.09877005905308,PVC,2001.0,9.35,7,1,0,0,,
14,300,197.675698448025,PVC,2010.0,8.55,7,1,0,0,,
91,300,7.66815428166733,CI,1933.0,7.75,7,1,2,1,-80.4857453119501,43.4601196215637
21,250,5.54689036169417,PVC,2003.0,9.35,6,3,0,0,,
21,250,5.98097064569028,PVC,2003.0,9.35,6,3,0,0,,
21,250,50.5048386005034,PVC,2003.0,9.35,6,3,0,0,,
57,150,75.5020706717993,DI,1967.0,8.5,5,1,1,1,-80.5183133579731,43.432821641074
57,150,7.69820533492652,DI,1967.0,8.5,5,1,1,1,-80.5183133579731,43.432821641074
76,150,1.49056867738331,CI,1948.0,7.75,6,1,0,0,,
76,150,182.595296258066,CI,1948.0,7.3,6,1,0,0,,
21,150,1.35087479580897,PVC,2003.0,9.35,5,4,0,0,,
21,150,9.2618520230424,PVC,2003.0,9.35,5,4,0,0,,
21,150,256.409416912839,PVC,2003.0,9.35,5,4,0,0,,
49,200,8.21180006553882,DI,1975.0,8.5,7,1,2,1,-80.4839803708363,43.4607948283607
46,300,28.1203005578424,DI,1978.0,8.5,6,1,0,0,,
